Source,Target
0,1
0,2
1,2
3,0
3,1
3,2
4,0
4,1
4,3
5,1
5,3
5,4
6,2
6,3
6,4
7,1
7,3
7,6
8,0
8,4
8,6
9,3
9,4
9,6
10,1
10,2
10,6
11,0
11,1
11,2
12,1
12,3
12,4
13,3
13,12
13,6
14,8
14,9
14,12
15,9
15,6
15,14
16,9
16,2
16,7
17,10
17,3
17,14
18,9
18,4
18,6
19,8
19,13
19,7
20,10
20,5
20,14
21,9
21,14
21,7
22,8
22,3
22,12
23,4
23,21
23,15
24,8
24,4
24,21
25,9
25,22
25,23
26,9
26,21
26,14
27,20
27,21
27,6
28,2
28,10
28,12
29,0
29,3
29,5
30,1
30,29
30,23
31,1
31,23
31,7
32,3
32,6
32,30
33,3
33,19
33,7
34,1
34,5
34,6
35,33
35,12
35,30
36,1
36,4
36,9
37,0
37,25
37,6
38,1
38,2
38,3
39,0
39,1
39,28
40,0
40,8
40,5
41,32
41,2
41,3
42,26
42,3
42,14
43,0
43,8
43,23
44,16
44,1
44,29
45,1
45,12
45,6
46,0
46,4
46,21
47,40
47,20
47,14
48,16
48,1
48,33
49,1
49,26
49,12
50,9
50,35
50,5
51,16
51,1
51,3
52,40
52,4
52,30
53,50
53,35
53,23
54,16
54,4
54,38
55,17
55,10
55,11
56,0
56,25
56,51
57,1
57,42
57,4
58,9
58,4
58,1
59,3
59,28
59,5
60,8
60,33
60,52
61,8
61,1
61,9
62,25
62,2
62,9
63,8
63,2
63,42
64,16
64,61
64,47
65,56
65,9
65,22
66,0
66,9
66,33
67,1
67,4
67,17
68,3
68,20
68,4
69,58
69,2
69,29
70,8
70,0
70,3
71,61
71,5
71,7
72,0
72,3
72,6
73,28
73,22
73,47
74,9
74,29
74,21
75,42
75,14
75,6
76,58
76,6
76,47
77,64
77,19
77,53
78,0
78,25
78,18
79,32
79,33
79,1
80,17
80,74
80,26
81,80
81,4
81,31
82,41
82,2
82,60
83,0
83,12
83,22
84,25
84,83
84,77
85,33
85,3
85,12
86,8
86,42
86,85
87,9
87,12
87,77
88,1
88,60
88,5
89,32
89,5
89,14
90,0
90,3
90,70
91,73
91,57
91,79
92,0
92,3
92,14
93,1
93,26
93,46
94,16
94,3
94,30
95,5
95,12
95,77
96,49
96,44
96,69
97,49
97,37
97,7
98,3
98,21
98,6
99,33
99,14
99,47
100,1
100,4
100,68
101,1
101,75
101,25
102,62
102,38
102,7
103,41
103,69
103,22
104,80
104,51
104,67
105,46
105,26
105,70
106,16
106,8
106,69
107,100
107,20
107,84
108,96
108,3
108,52
109,3
109,92
109,4
110,9
110,82
110,35
111,48
111,3
111,7
112,1
112,3
112,6
113,24
113,41
113,14
114,8
114,51
114,29
115,73
115,4
115,22
116,76
116,47
116,7
117,69
117,4
117,28
118,16
118,17
118,69
119,8
119,54
119,7
120,32
120,41
120,14
121,54
121,81
121,6
122,48
122,1
122,86
123,8
123,36
123,38
124,64
124,57
124,2
125,40
125,16
125,19
126,120
126,41
126,118
127,99
127,53
127,31
128,26
128,70
128,119
129,122
129,3
129,100
130,89
130,67
130,12
131,9
131,101
131,38
132,0
132,33
132,92
133,50
133,63
133,23
134,114
134,50
134,94
135,8
135,0
135,3
136,11
136,37
136,118
137,80
137,33
137,71
138,33
138,10
138,4
139,138
139,69
139,126
140,9
140,17
140,119
141,73
141,74
141,9
142,136
142,52
142,79
143,0
143,6
143,79
144,96
144,41
144,50
145,56
145,69
145,14
146,8
146,104
146,47
147,9
147,3
147,118
148,0
148,26
148,50
149,58
149,140
149,90
150,2
150,115
150,86
151,49
151,90
151,71
152,24
152,44
152,15
153,51
153,44
153,150
154,1
154,74
154,3
155,25
155,7
155,111
156,109
156,118
156,111
157,33
157,14
157,87
158,75
158,131
158,118
159,98
159,140
159,5
160,1
160,50
160,6
161,42
161,29
161,86
162,0
162,17
162,6
163,16
163,42
163,59
164,0
164,1
164,26
165,131
165,28
165,54
166,8
166,59
166,38
167,82
167,18
167,135
168,76
168,4
168,47
169,44
169,53
169,84
170,89
170,146
170,17
171,3
171,13
171,119
172,17
172,18
172,21
173,107
173,69
173,7
174,16
174,33
174,105
175,67
175,173
175,7
176,40
176,3
176,141
177,4
177,53
177,39
178,96
178,9
178,89
179,33
179,85
179,69
180,138
180,75
180,6
181,163
181,20
181,86
182,128
182,58
182,139
183,33
183,13
183,127
184,18
184,51
184,71
185,8
185,40
185,140
186,89
186,25
186,24
187,81
187,13
187,14
188,48
188,90
188,37
189,51
189,75
189,100
190,100
190,68
190,157
191,176
191,5
191,55
192,96
192,84
192,61
193,44
193,21
193,143
194,139
194,78
194,119
195,24
195,64
195,6
196,1
196,12
196,87
197,8
197,19
197,76
198,115
198,6
198,79
199,0
199,64
199,175
200,90
200,36
200,174
201,130
201,51
201,15
202,26
202,77
202,62
203,7
203,14
203,143
204,40
204,26
204,68
205,77
205,101
205,14
206,40
206,70
206,6
207,36
207,38
207,23
208,3
208,68
208,79
209,4
209,21
209,14
210,110
210,4
210,102
211,61
211,44
211,12
212,185
212,9
212,151
213,67
213,86
213,207
214,32
214,3
214,85
215,122
215,131
215,211
216,162
216,58
216,212
217,195
217,189
217,6
218,140
218,157
218,133
219,112
219,17
219,87
220,81
220,90
220,147
221,8
221,3
221,111
222,10
222,187
222,109
223,9
223,18
223,133
224,53
224,83
224,5
225,0
225,38
225,111
226,8
226,28
226,69
227,17
227,13
227,1
228,62
228,94
228,6
229,218
229,3
229,111
230,33
230,116
230,4
231,12
231,118
231,159
232,128
232,1
232,12
233,3
233,147
233,4
234,0
234,149
234,22
235,137
235,234
235,61
236,32
236,139
236,12
237,120
237,0
237,71
238,8
238,9
238,143
239,8
239,33
239,109
240,24
240,3
240,187
241,192
241,25
241,73
242,205
242,58
242,189
243,125
243,77
243,133
244,126
244,221
244,14
245,12
245,190
245,7
246,16
246,71
246,23
247,59
247,21
247,46
248,88
248,12
248,87
249,9
249,50
249,77
250,147
250,46
250,6
251,38
251,105
251,6
252,112
252,41
252,130
253,40
253,26
253,83
254,10
254,227
254,230
255,137
255,201
255,7
256,1
256,139
256,166
257,19
257,21
257,23
258,73
258,2
258,151
259,9
259,177
259,189
260,1
260,250
260,33
261,224
261,236
261,102
262,3
262,131
262,245
263,25
263,10
263,159
264,2
264,213
264,47
265,9
265,19
265,7
266,131
266,180
266,214
267,17
267,257
267,6
268,209
268,175
268,95
269,40
269,12
269,21
270,49
270,36
270,215
271,140
271,4
271,118
272,194
272,76
272,77
273,89
273,225
273,2
274,8
274,41
274,189
275,231
275,213
275,175
276,33
276,21
276,1
277,32
277,50
277,77
278,225
278,123
278,69
279,147
279,236
279,118
280,19
280,251
280,79
281,8
281,204
281,14
282,258
282,85
282,87
283,66
283,53
283,94
284,155
284,29
284,157
285,17
285,139
285,94
286,17
286,83
286,235
287,136
287,90
287,50
288,42
288,4
288,14
289,59
289,148
289,159
290,240
290,90
290,22
291,152
291,174
291,176
292,136
292,8
292,189
293,41
293,19
